STATE,YEAR,HSS,CPE,IIM,HD,CM,EOH
AZ,2020,8.600000381,4.900000095,9.600000381,3.900000095,5.900000095,7.400000095
CA,2020,7.599999905,5,8.5,4.199999809,4.900000095,7.800000191
CO,2020,8.5,5.599999905,9.199999809,5.699999809,6.300000191,7.699999809
CT,2020,8.699999809,6.699999809,8.899999619,5.300000191,6.699999809,6.599999905
DC,2020,8.399999619,7.599999905,7.900000095,5.800000191,7.300000191,6.900000095
DE,2020,7.599999905,6.800000191,9.199999809,5.5,5.900000095,6.199999809
FL,2020,9.100000381,4.699999809,9.199999809,4.599999905,5,7.699999809
GA,2020,9.100000381,5.699999809,9.600000381,5.599999905,5.199999809,7.199999809
HI,2020,7.699999809,5.099999905,8.199999809,4,5.800000191,7.099999905
IA,2020,8.399999619,5,9.100000381,5.400000095,7.099999905,7.900000095
ID,2020,8.600000381,5.699999809,9.800000191,4.5,4.900000095,6.800000191
IL,2020,8.600000381,4.800000191,9,4.900000095,6.099999905,7.5
IN,2020,9.399999619,4.199999809,8.899999619,5.099999905,5.900000095,6.699999809
KS,2020,7.5,5.300000191,9.5,5.800000191,7.5,5.900000095
KY,2020,8,4.599999905,8.399999619,4.5,6,7.300000191
LA,2020,7.400000095,5.400000095,9.600000381,4.599999905,5.400000095,6.300000191
MA,2020,9.399999619,7.099999905,8.899999619,4.900000095,6.800000191,7.599999905
MD,2020,9.300000191,6.099999905,9.199999809,5,6.300000191,8.100000381
ME,2020,8,6,9,5.800000191,6.699999809,6.800000191
MI,2020,9.300000191,4.900000095,9.199999809,4.599999905,6.199999809,7.300000191
MN,2020,9,6.199999809,8.5,4.699999809,7.199999809,7.099999905
MO,2020,8.800000191,5.099999905,9.100000381,5.400000095,7,6.800000191
MS,2020,8.5,5.400000095,9,4.800000191,5.900000095,6
MT,2020,7.800000191,5.599999905,8.399999619,4.300000191,7.400000095,6.800000191
NC,2020,8.399999619,5.099999905,9.699999809,4.699999809,6.699999809,7.800000191
ND,2020,7.699999809,6.400000095,9.399999619,4.900000095,7.5,6.300000191
NE,2020,9,6,9.199999809,5.400000095,7.599999905,7
NH,2020,8.300000191,4.699999809,8.800000191,6.599999905,7,7.699999809
NJ,2020,8.600000381,5.5,8.199999809,5.5,6.400000095,7
NM,2020,9,4,8.199999809,3.799999952,4.699999809,6.900000095
NV,2020,7.699999809,4.300000191,8.100000381,3.5,4.300000191,6.400000095
NY,2020,9.100000381,5.800000191,8.5,5,6.099999905,7.599999905
OH,2020,6.800000191,5.199999809,9.100000381,4.900000095,6.199999809,6.300000191
OK,2020,8.100000381,5.300000191,9.100000381,4.800000191,6.199999809,6.099999905
OR,2020,8.399999619,6,8.5,5.099999905,6.599999905,7.199999809
PA,2020,8.399999619,5.599999905,8.5,5.5,6.900000095,6.699999809
RI,2020,7.5,6.699999809,9,5.599999905,7.800000191,6.400000095
SC,2020,8.300000191,3.900000095,9.699999809,6.099999905,6.699999809,7.5
SD,2020,8.399999619,4.099999905,8.800000191,4.800000191,7.099999905,6.099999905
TN,2020,8.800000191,4.699999809,9.399999619,4.800000191,5.599999905,6.400000095
TX,2020,9,4.900000095,8.800000191,4.800000191,5.900000095,6.900000095
UT,2020,8.5,6.300000191,9.800000191,5.599999905,5.400000095,6.800000191
VA,2020,9.399999619,5.699999809,9.699999809,5.699999809,6.099999905,7.800000191
VT,2020,9,6.699999809,8.899999619,6,6,7.400000095
WA,2020,8.300000191,5.599999905,8.399999619,4.199999809,6.199999809,8
WI,2020,8.800000191,5.699999809,9,5.199999809,7.300000191,7
WV,2020,7.199999809,4.800000191,8.399999619,5.300000191,7,4.800000191
WY,2020,8.199999809,4.400000095,8.5,5,5.800000191,5.699999809
